COGS,COGS Local,Item Name,Bundle,Category,Sub-category,Contribution,Contribution %,Brand,Region,Reporting Week,Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales,AWD Transportation Fee per unit,AWD Transportation Fee quantity,AWD Transportation Fee total,AWD outbound processing fee per unit,AWD outbound processing fee quantity,AWD outbound processing fee total,Base fulfillment fee per unit,Base fulfillment fee quantity,Base fulfillment fee total,Base monthly storage fee per unit,Base monthly storage fee quantity,Base monthly storage fee total,FBA Inventory Reimbursement per unit,FBA Inventory Reimbursement quantity,FBA Inventory Reimbursement total,FBA fulfillment fees per unit,FBA fulfillment fees quantity,FBA fulfillment fees total,Low-inventory-level fee per unit,Low-inventory-level fee quantity,Low-inventory-level fee total,Monthly inventory storage fee per unit,Monthly inventory storage fee quantity,Monthly inventory storage fee total,Referral Fee Refunds per unit,Referral Fee Refunds quantity,Referral Fee Refunds total,Referral fee per unit,Referral fee quantity,Referral fee total,Refund administration fee per unit,Refund administration fee quantity,Refund administration fee total,Storage utilization surcharge per unit,Storage utilization surcharge quantity,Storage utilization surcharge total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Net proceeds total,Net proceeds per net unit sold,AWD Storage Fee per unit,AWD Storage Fee quantity,AWD Storage Fee total,FBA removal order fee per unit,FBA removal order fee quantity,FBA removal order fee total,Inbound Transportation Fee per unit,Inbound Transportation Fee quantity,Inbound Transportation Fee total,FBA inbound placement service fee per unit,FBA inbound placement service fee quantity,FBA inbound placement service fee total,Aged inventory surcharge per unit,Aged inventory surcharge quantity,Aged inventory surcharge total
1.53,2.091892316,KITTY KA-ZOOM ZOOMIE Jelly Fish - Refillable Catnip Toy + Catnip | High Potency Hand Harvested Fresh Catnip | Soft Plush for Engaging Play,0,Cat Toys,Plushes,-334.9769472,-4.431949639,Kitty Ka-Zoom,CA,2025-W36,CA,9/1/2025,12/31/2025,B0D5BZZSHG,B0CYJWPGC7,,,CAD,9.667619,126,2,124,1218.12,1198.8,,,,,,,5.862712,118,691.8,0.107982,135.97,14.6823,,,,5.862712,118,691.8,,,,0.107982,135.97,14.6823,-0.485,2,-0.97,0.480238,126,60.51,0.095,2,0.19,0,10.83,0,1.107124,459,508.17,-75.5823,-0.609535,,,,,,,,,,,,,,,
2.02,2.761844758,KITTY KA-ZOOM ZOOMIE Snake Kicker - Refillable Catnip Toy + Catnip | High Potency Hand Harvested Fresh | Soft Plush for Engaging Play,0,Cat Toys,Plushes,-432.0477661,-9.518672073,Kitty Ka-Zoom,CA,2025-W36,CA,9/1/2025,12/31/2025,B0D5BZZSHG,B0CYJX7L6M,,,CAD,9.774296,142,2,140,1387.95,1370.38,,,,,,,6.265211,142,889.66,0.144241,106,15.2895,-2.19,1,-2.19,6.265211,142,889.66,,,,0.144241,106,15.2895,-0.485,2,-0.97,0.473803,142,67.28,0.1,2,0.2,0,2.14,0,1.11625,400,446.5,-45.3895,-0.324211,,,,,,,,,,,,,,,
1.54,2.105564815,KITTY KA-ZOOM ZOOMIE Shark Kicker - Refillable Catnip Toy + Catnip | High Potency Hand Harvested Fresh | Soft Plush for Engaging Play,0,Cat Toys,Plushes,-317.4934241,-9.300865779,Kitty Ka-Zoom,CA,2025-W36,CA,9/1/2025,12/31/2025,B0D5BZZSHG,B0CYJY8DJN,,,CAD,8.423895,172,5,167,1448.91,1409.26,,,,,,,5.886977,172,1012.56,0.077913,111.33,8.6741,,,,5.886977,172,1012.56,,,,0.077913,111.33,8.6741,-0.41,5,-2.05,0.406395,172,69.9,0.08,5,0.4,0,1.67,0,1.094406,261,285.64,34.1359,0.204407,,,,,,,,,,,,,,,
1.58,2.16025481,KITTY KA-ZOOM ZOOMIE Crab - Refillable Catnip Toy + Catnip | High Potency Hand Harvested Fresh | Soft Plush for Engaging Play,0,Cat Toys,Plushes,-61.23691777,-0.2001164609,Kitty Ka-Zoom,CA,2025-W36,CA,9/1/2025,12/31/2025,B0D5BZZSHG,B0CYK66K6L,,,CAD,8.326257,171,1,170,1423.79,1415.51,,,,,,,5.634151,159,895.83,0.076124,168.85,12.8536,-1.73,11,-19.03,5.634151,159,895.83,,,,0.076124,168.85,12.8536,-0.41,1,-0.41,0.408304,171,69.82,0.08,1,0.08,0,11.11,0,1.354595,111,150.36,306.0064,1.800038,,,,,,,,,,,,,,,
1.32,1.804769842,KITTY KA-ZOOM Catnip Spray - 1oz. Bottle | High Potency Catnip Spray Made from Steam-Distilled Natural Plants | Hand Harvest Grown in Canada and The USA,0,Oils,Sprays,-120.9538191,-33.83039719,Kitty Ka-Zoom,CA,2025-W36,CA,9/1/2025,12/31/2025,B0GL3D6Y5H,B0CZ1PLPQ9,,,CAD,6.965652,69,0,69,480.63,480.63,,,,,,,5.435,64,347.84,0.005624,119.96,0.6747,,,,5.435,64,347.84,,,,0.005624,119.96,0.6747,,,,0.35,69,24.15,,,,0,31.94,0,1.159889,90,104.39,3.5753,0.051816,,,,,,,,,,,,,,,
1.79,2.447377285,KITTY KA-ZOOM Catnip Spray - 4oz. Bottle | High Potency Catnip Spray Made from Steam-Distilled Natural Plants | Hand Harvest Grown in Canada and The USA,0,Oils,Sprays,16.8859809,0.08528622078,Kitty Ka-Zoom,CA,2025-W36,CA,9/1/2025,12/31/2025,B0GL3D6Y5H,B0CZ1R2GGG,,,CAD,9.659865,74,0,74,714.83,714.83,,,,,,,5.610714,70,392.75,0.020845,104.49,2.1781,,,,5.610714,70,392.75,,,,0.020845,104.49,2.1781,,,,0.48027,74,35.54,,,,0,24.72,0,1.1516,75,86.37,197.9919,2.675566,,,,,,,,,,,,,,,
1.12,1.531319866,KITTY KA-ZOOM Catnip Craze - Catnip Mix | Hand Harvested Fresh Catnip Grown in Canada and The USA,0,Blends,PIll Bottles,-179.4239674,-5.057059557,Kitty Ka-Zoom,CA,2025-W36,CA,9/1/2025,12/31/2025,B0GL76L7Q1,B0CZ2DX1NW,,,CAD,7.068021,96,2,94,678.53,664.73,,,,,,,5.955208,96,571.7,0.099569,74.42,7.4099,,,,5.955208,96,571.7,,,,0.099569,74.42,7.4099,-0.35,2,-0.7,0.342604,96,32.89,0.07,2,0.14,0,11.58,0,1.232917,72,88.77,-35.4799,-0.377446,,,,,,,,,,,,,,,
1.73,2.365342292,KITTY KA-ZOOM Super ZOOMIES Mix - 7 Ingredient Catnip Mix | Hand Harvested Fresh Catnip Grown in Canada and The USA,0,Cat Jars,Jars,605.7365206,0.7464209757,Kitty Ka-Zoom,CA,2025-W36,CA,9/1/2025,12/31/2025,B0GL76L7Q1,B0CZ2DYMFN,,,CAD,18.285909,88,1,87,1609.16,1586.67,,,,,,,6.796282,78,530.11,0.080067,99.4,7.9587,,,,6.796282,78,530.11,,,,0.080067,99.4,7.9587,-0.44,1,-0.44,0.879432,88,77.39,0.09,1,0.09,0,21.6,0,1.413097,113,159.68,811.5213,9.327831,,,,,,,,,,,,,,,
1.16,1.586009861,KITTY KA-ZOOM Silverine Surge - Catnip & Silvervine Mix | Hand Harvested Fresh Catnip Grown in Canada and The USA,0,Blends,PIll Bottles,-328.0832058,-1.972718485,Kitty Ka-Zoom,CA,2025-W36,CA,9/1/2025,12/31/2025,B0GL76L7Q1,B0CZ2F4G84,,,CAD,6.964757,103,1,102,717.37,710.47,,,,,,,6.337234,94,595.7,0.123659,102.38,12.6602,,,,6.337234,94,595.7,,,,0.123659,102.38,12.6602,-0.35,1,-0.35,0.3465,100,34.65,0.07,1,0.07,0,22.08,0,1.393155,168,234.05,-166.3102,-1.630492,,,,,,,,,,,,,,,
1.14,1.558664863,KITTY KA-ZOOM Zoom Sticks - Silvervine Sticks Covered in Silvervine Fruit | Dental Support Chew for Cats | High Potency Natural Chew Stick for Indoor Cats,0,Clamshells,Silvervine Sticks,3.358635137,0.6830242484,Kitty Ka-Zoom,CA,2025-W36,CA,9/1/2025,12/31/2025,B0CZ2TDMWV,B0CZ2TDMWV,,,CAD,10.44,1,0,1,10.44,10.44,,,,,,,3.93,1,3.93,0.005061,93.4,0.4727,,,,3.93,1,3.93,,,,0.005061,93.4,0.4727,,,,0.53,1,0.53,,,,0,68.66,0,0.59,1,0.59,4.9173,4.9173,,,,,,,,,,,,,,,
